order_id,customer_id,city,category,product,amount,order_date,status
ORD00000000,C000000, hyderabad , grocery ,Oil ,invalid,01/01/2024,Cancelled
ORD00000001,C000001,Pune,Grocery,Sugar,35430,2024-01-02,Completed
ORD00000002,C000002,Pune,Electronics,Mobile,65358,2024-01-03,Completed
ORD00000003,C000003,Bangalore,Electronics,Laptop,5558,2024-01-04,Completed
ORD00000004,C000004,Pune,Home,AirPurifier,33659,2024-01-05,Completed
ORD00000005,C000005,Delhi,Fashion,Jeans,8521,2024-01-06,Completed
ORD00000006,C000006,Delhi,Grocery,Sugar,42383,2024-01-07,Completed
ORD00000007,C000007,Pune,Grocery,Rice,45362,2024-01-08,Completed
ORD00000008,C000008,Bangalore,Fashion,Jeans,10563,2024-01-09,Completed
ORD00000009,C000009,Kolkata,Electronics,Laptop,63715,2024-01-10,Completed
ORD00000010,C000010,Bangalore,Grocery,Sugar,66576,2024-01-11,Completed
ORD00000011,C000011,Kolkata,Electronics,Tablet,50318,12/01/2024,Completed
ORD00000012,C000012,Bangalore,Grocery,Sugar,84768,2024-01-13,Completed
ORD00000013,C000013,Pune,Fashion,TShirt,79121,2024/01/14,Completed
ORD00000014,C000014,Mumbai,Electronics,Tablet,79469,2024-01-15,Completed
ORD00000015,C000015,Pune,Electronics,Mobile,81018,2024-01-16,Completed
ORD00000016,C000016,Mumbai,Home,Mixer,64225,2024-01-17,Completed
ORD00000017,C000017, bangalore ,Grocery,Oil,69582,2024-01-18,Completed
ORD00000018,C000018,Kolkata,Fashion,Jeans,50424,2024-01-19,Completed
ORD00000019,C000019,Mumbai,Electronics,Mobile,invalid,2024-01-20,Completed
ORD00000020,C000020,Kolkata,Grocery,Rice,58757,2024-01-21,Cancelled
ORD00000021,C000021,Delhi,Electronics,Tablet,20654,2024-01-22,Completed
ORD00000022,C000022,Mumbai,Grocery,Sugar,48832,23/01/2024,Completed
ORD00000023,C000023,Hyderabad,Electronics,Mobile,"12,000",2024-01-24,Completed
ORD00000024,C000024,Bangalore,Home,Mixer,18082,2024-01-25,Completed
ORD00000025,C000025,Bangalore,Home,AirPurifier,58248,2024-01-26,Completed
ORD00000026,C000026,Delhi,Electronics,Mobile,19177,2024/01/27,Completed
ORD00000027,C000027,Chennai,Fashion,Jeans,79049,2024-01-28,Completed
ORD00000028,C000028,Mumbai,Grocery,Sugar,70675,2024-01-29,Completed
ORD00000029,C000029,Bangalore,Grocery,Sugar,,2024-01-30,Completed
ORD00000030,C000030,Pune,Home,AirPurifier,52112,2024-01-31,Completed
ORD00000031,C000031,Chennai, grocery ,Oil,51151,2024-02-01,Completed
ORD00000032,C000032,Chennai,Home,Vacuum,75797,2024-02-02,Completed
ORD00000033,C000033,Pune,Electronics,Mobile,87655,03/02/2024,Completed
ORD00000034,C000034, pune ,Grocery,Sugar,40915,2024-02-04,Completed
ORD00000035,C000035,Mumbai,Electronics,Laptop,88321,2024-02-05,Completed
ORD00000036,C000036,Kolkata,Grocery,Oil,29253,2024-02-06,Completed
ORD00000037,C000037,Pune,Electronics,Mobile ,25916,2024-02-07,Completed
ORD00000038,C000038,Delhi,Home,Vacuum,invalid,2024-02-08,Completed
ORD00000039,C000039,Pune,Grocery,Oil,73088,2024/02/09,Completed
ORD00000040,C000040,Delhi,Grocery,Oil,81145,2024-02-10,Cancelled
ORD00000041,C000041,Chennai,Fashion,Jeans,2704,2024-02-11,Completed
ORD00000042,C000042,Delhi,Home,Vacuum,83855,2024-02-12,Completed
ORD00000043,C000043,Hyderabad,Home,AirPurifier,82061,2024-02-13,Completed
ORD00000044,C000044,Delhi,Grocery,Sugar,64841,14/02/2024,Completed
ORD00000045,C000045,Mumbai,Home,Mixer,27398,2024-02-15,Completed
ORD00000046,C000046,Bangalore,Grocery,Rice,"12,000",2024-02-16,Completed
ORD00000047,C000047,Chennai,Electronics,Laptop,75093,2024-02-17,Completed
ORD00000048,C000048,Kolkata,Fashion,Jeans,51000,2024-02-18,Completed
ORD00000049,C000049,Kolkata,Electronics,Tablet,83325,2024-02-19,Completed
ORD00000050,C000050,Kolkata,Fashion,Jeans,20042,2024-02-20,Completed
ORD00000051,C000051, hyderabad ,Grocery,Oil,29497,2024-02-21,Completed
ORD00000052,C000052,Kolkata,Home,Mixer,84243,2024/02/22,Completed
ORD00000053,C000053,Hyderabad,Home,AirPurifier,74634,2024-02-23,Completed
ORD00000054,C000054,Kolkata,Grocery,Oil,26434,2024-02-24,Completed
ORD00000055,C000055,Chennai,Home,Vacuum,34801,25/02/2024,Completed
ORD00000056,C000056,Hyderabad,Grocery,Sugar,39461,2024-02-26,Completed
ORD00000057,C000057,Kolkata,Home,AirPurifier,invalid,2024-02-27,Completed
ORD00000058,C000058,Mumbai,Grocery,Oil,,2024-02-28,Completed
ORD00000059,C000059,Chennai,Home,Vacuum,2172,2024-02-29,Completed
ORD00000060,C000060,Delhi,Grocery,Oil,66936,2024-01-01,Cancelled
ORD00000061,C000061,Hyderabad,Home,AirPurifier,54290,2024-01-02,Completed
ORD00000062,C000062,Chennai, electronics ,Mobile,83135,2024-01-03,Completed
ORD00000063,C000063,Hyderabad,Grocery,Sugar,23023,2024-01-04,Completed
ORD00000064,C000064,Hyderabad,Grocery,Rice,82413,2024-01-05,Completed
ORD00000065,C000065,Delhi,Grocery,Rice,62330,2024/01/06,Completed
ORD00000066,C000066,Chennai,Electronics,Mobile,78373,07/01/2024,Completed
ORD00000067,C000067,Chennai,Home,AirPurifier,88927,2024-01-08,Completed
ORD00000068,C000068, kolkata ,Electronics,Laptop,32236,2024-01-09,Completed
ORD00000069,C000069,Chennai,Fashion,Jeans,"12,000",2024-01-10,Completed
ORD00000070,C000070,Delhi,Grocery,Oil,47786,2024-01-11,Completed
ORD00000071,C000071,Mumbai,Electronics,Tablet,72801,2024-01-12,Completed
ORD00000072,C000072,Delhi,Grocery,Rice,7414,2024-01-13,Completed
ORD00000073,C000073,Bangalore,Fashion,Shoes,23849,2024-01-14,Completed
ORD00000074,C000074,Pune,Fashion,Jeans ,52861,2024-01-15,Completed
ORD00000075,C000075,Pune,Fashion,Shoes,60349,2024-01-16,Completed
ORD00000076,C000076,Mumbai,Home,AirPurifier,invalid,2024-01-17,Completed
ORD00000077,C000077,Pune,Home,AirPurifier,18420,18/01/2024,Completed
ORD00000078,C000078,Mumbai,Electronics,Tablet,53529,2024/01/19,Completed
ORD00000079,C000079,Pune,Grocery,Sugar,50488,2024-01-20,Completed
ORD00000080,C000080,Bangalore,Home,Vacuum,25498,2024-01-21,Cancelled
ORD00000081,C000081,Hyderabad,Home,AirPurifier,43515,2024-01-22,Completed
ORD00000082,C000082,Delhi,Home,Mixer,32366,2024-01-23,Completed
ORD00000083,C000083,Pune,Electronics,Mobile,38134,2024-01-24,Completed
ORD00000084,C000084,Pune,Grocery,Rice,81998,2024-01-25,Completed
ORD00000085,C000085, pune ,Grocery,Rice,44904,2024-01-26,Completed
ORD00000086,C000086,Mumbai,Electronics,Laptop,62239,2024-01-27,Completed
ORD00000087,C000087,Delhi,Electronics,Tablet,,2024-01-28,Completed
ORD00000088,C000088,Kolkata,Home,Mixer,34561,29/01/2024,Completed
ORD00000089,C000089,Chennai,Home,AirPurifier,78964,2024-01-30,Completed
ORD00000090,C000090,Chennai,Grocery,Sugar,35725,2024-01-31,Completed
ORD00000091,C000091,Pune,Grocery,Rice,81980,2024/02/01,Completed
ORD00000092,C000092,Chennai,Fashion,Jeans,"12,000",2024-02-02,Completed
ORD00000093,C000093,Bangalore, home ,Mixer,44064,2024-02-03,Completed
ORD00000094,C000094,Chennai,Fashion,TShirt,67528,2024-02-04,Completed
ORD00000095,C000095,Hyderabad,Electronics,Mobile,invalid,2024-02-05,Completed
ORD00000096,C000096,Hyderabad,Electronics,Tablet,8445,2024-02-06,Completed
ORD00000097,C000097,Kolkata,Grocery,Sugar,81381,invalid_date,Completed
ORD00000098,C000098,Mumbai,Grocery,Rice,83656,2024-02-08,Completed
ORD00000099,C000099,Mumbai,Fashion,Jeans,48437,09/02/2024,Completed
ORD00000100,C000100,Kolkata,Grocery,Sugar,52275,2024-02-10,Cancelled
ORD00000101,C000101,Mumbai,Home,Mixer,9817,2024-02-11,Completed
ORD00000102,C000102, hyderabad ,Grocery,Sugar,5419,2024-02-12,Completed
ORD00000103,C000103,Mumbai,Home,AirPurifier,41424,2024-02-13,Completed
ORD00000104,C000104,Kolkata,Fashion,Jeans,32476,2024/02/14,Completed
ORD00000105,C000105,Bangalore,Home,Vacuum,756,2024-02-15,Completed
ORD00000106,C000106,Pune,Grocery,Rice,77464,2024-02-16,Completed
ORD00000107,C000107,Hyderabad,Electronics,Mobile,65918,2024-02-17,Completed
ORD00000108,C000108,Mumbai,Electronics,Mobile,76969,2024-02-18,Completed
ORD00000109,C000109,Delhi,Fashion,TShirt,71526,2024-02-19,Completed
ORD00000110,C000110,Delhi,Electronics,Laptop,85884,20/02/2024,Completed
ORD00000111,C000111,Bangalore,Fashion,Shoes ,657,2024-02-21,Completed
ORD00000112,C000112,Hyderabad,Fashion,Shoes,56940,2024-02-22,Completed
ORD00000113,C000113,Pune,Fashion,TShirt,27427,2024-02-23,Completed
ORD00000114,C000114,Bangalore,Home,AirPurifier,invalid,2024-02-24,Completed
ORD00000115,C000115,Delhi,Electronics,Tablet,"12,000",2024-02-25,Completed
ORD00000116,C000116,Bangalore,Grocery,Sugar,,2024-02-26,Completed
ORD00000117,C000117,Pune,Grocery,Sugar,53249,2024/02/27,Completed
ORD00000118,C000118,Bangalore,Grocery,Sugar,44289,2024-02-28,Completed
ORD00000119,C000119, mumbai ,Electronics,Laptop,47019,2024-02-29,Completed
ORD00000120,C000120,Pune,Grocery,Oil,42514,2024-01-01,Cancelled
ORD00000121,C000121,Mumbai,Grocery,Rice,12162,02/01/2024,Completed
ORD00000122,C000122,Chennai,Fashion,Jeans,47437,2024-01-03,Completed
ORD00000123,C000123,Hyderabad,Home,Vacuum,69467,2024-01-04,Completed
ORD00000124,C000124,Bangalore, grocery ,Sugar,54296,2024-01-05,Completed
ORD00000125,C000125,Kolkata,Electronics,Tablet,61525,2024-01-06,Completed
ORD00000126,C000126,Delhi,Home,Mixer,33866,2024-01-07,Completed
ORD00000127,C000127,Hyderabad,Fashion,Jeans,64795,2024-01-08,Completed
ORD00000128,C000128,Hyderabad,Home,Mixer,37183,2024-01-09,Completed
ORD00000129,C000129,Kolkata,Grocery,Rice,26170,2024-01-10,Completed
ORD00000130,C000130,Kolkata,Electronics,Mobile,35843,2024/01/11,Completed
ORD00000131,C000131,Mumbai,Grocery,Sugar,7929,2024-01-12,Completed
ORD00000132,C000132,Delhi,Electronics,Tablet,21601,13/01/2024,Completed
ORD00000133,C000133,Kolkata,Home,Vacuum,invalid,2024-01-14,Completed
ORD00000134,C000134,Pune,Electronics,Mobile,88428,2024-01-15,Completed
ORD00000135,C000135,Delhi,Grocery,Oil,19302,2024-01-16,Completed
ORD00000136,C000136, bangalore ,Home,Vacuum,89034,2024-01-17,Completed
ORD00000137,C000137,Kolkata,Fashion,TShirt,1508,2024-01-18,Completed
ORD00000138,C000138,Hyderabad,Fashion,Jeans,"12,000",2024-01-19,Completed
ORD00000139,C000139,Chennai,Fashion,Jeans,87669,2024-01-20,Completed
ORD00000140,C000140,Hyderabad,Fashion,Shoes,27375,2024-01-21,Cancelled
ORD00000141,C000141,Bangalore,Home,Vacuum,53277,2024-01-22,Completed
ORD00000142,C000142,Kolkata,Electronics,Tablet,47592,2024-01-23,Completed
ORD00000143,C000143,Mumbai,Fashion,TShirt,71431,24/01/2024,Completed
ORD00000144,C000144,Delhi,Home,Mixer,83870,2024-01-25,Completed
ORD00000145,C000145,Delhi,Home,Mixer,,2024-01-26,Completed
ORD00000146,C000146,Pune,Home,Mixer,16091,2024-01-27,Completed
ORD00000147,C000147,Chennai,Electronics,Laptop,6894,2024-01-28,Completed
ORD00000148,C000148,Hyderabad,Electronics,Mobile ,70865,2024-01-29,Completed
ORD00000149,C000149,Hyderabad,Home,Vacuum,46687,2024-01-30,Completed
ORD00000150,C000150,Mumbai,Electronics,Mobile,36045,2024-01-31,Completed
ORD00000151,C000151,Delhi,Electronics,Laptop,45494,2024-02-01,Completed
ORD00000152,C000152,Delhi,Fashion,Jeans,invalid,2024-02-02,Completed
ORD00000153,C000153, mumbai ,Electronics,Tablet,77630,2024-02-03,Completed
ORD00000154,C000154,Bangalore,Grocery,Oil,51912,04/02/2024,Completed
ORD00000155,C000155,Chennai, home ,Vacuum,22160,2024-02-05,Completed
ORD00000156,C000156,Pune,Electronics,Mobile,23338,2024/02/06,Completed
ORD00000157,C000157,Mumbai,Home,Mixer,74330,2024-02-07,Completed
ORD00000158,C000158,Mumbai,Home,Vacuum,63585,2024-02-08,Completed
ORD00000159,C000159,Bangalore,Electronics,Tablet,89397,2024-02-09,Completed
ORD00000160,C000160,Pune,Home,Mixer,31321,2024-02-10,Cancelled
ORD00000161,C000161,Bangalore,Electronics,Mobile,"12,000",2024-02-11,Completed
ORD00000162,C000162,Kolkata,Home,AirPurifier,89121,2024-02-12,Completed
ORD00000163,C000163,Delhi,Fashion,Jeans,59211,2024-02-13,Completed
ORD00000164,C000164,Delhi,Home,Vacuum,7087,2024-02-14,Completed
ORD00000165,C000165,Kolkata,Home,Mixer,38515,15/02/2024,Completed
ORD00000166,C000166,Kolkata,Electronics,Laptop,915,2024-02-16,Completed
ORD00000167,C000167,Delhi,Fashion,TShirt,43155,2024-02-17,Completed
ORD00000168,C000168,Pune,Fashion,Shoes,18078,2024-02-18,Completed
ORD00000169,C000169,Mumbai,Grocery,Sugar,52565,2024/02/19,Completed
ORD00000170,C000170, pune ,Fashion,Shoes,65778,2024-02-20,Completed
ORD00000171,C000171,Hyderabad,Electronics,Mobile,invalid,2024-02-21,Completed
ORD00000172,C000172,Bangalore,Electronics,Laptop,54240,2024-02-22,Completed
ORD00000173,C000173,Mumbai,Fashion,Jeans,7761,2024-02-23,Completed
ORD00000174,C000174,Bangalore,Grocery,Oil,,2024-02-24,Completed
ORD00000175,C000175,Kolkata,Fashion,Shoes,24487,2024-02-25,Completed
ORD00000176,C000176,Hyderabad,Fashion,TShirt,39262,26/02/2024,Completed
ORD00000177,C000177,Bangalore,Grocery,Oil,45618,2024-02-27,Completed
ORD00000178,C000178,Hyderabad,Grocery,Oil,716,2024-02-28,Completed
ORD00000179,C000179,Chennai,Home,Mixer,54987,2024-02-29,Completed
ORD00000180,C000180,Delhi,Electronics,Mobile,9927,2024-01-01,Cancelled
ORD00000181,C000181,Pune,Home,Vacuum,27892,2024-01-02,Completed
ORD00000182,C000182,Kolkata,Home,AirPurifier,4691,2024/01/03,Completed
ORD00000183,C000183,Pune,Electronics,Tablet,53325,2024-01-04,Completed
ORD00000184,C000184,Kolkata,Fashion,Shoes,"12,000",2024-01-05,Completed
ORD00000185,C000185,Pune,Home,AirPurifier ,6829,2024-01-06,Completed
ORD00000186,C000186,Pune, electronics ,Laptop,28232,2024-01-07,Completed
ORD00000187,C000187, kolkata ,Fashion,Jeans,35618,08/01/2024,Completed
ORD00000188,C000188,Bangalore,Electronics,Tablet,82780,2024-01-09,Completed
ORD00000189,C000189,Delhi,Grocery,Oil,41344,2024-01-10,Completed
ORD00000190,C000190,Kolkata,Grocery,Rice,invalid,2024-01-11,Completed
ORD00000191,C000191,Mumbai,Fashion,Shoes,18544,2024-01-12,Completed
ORD00000192,C000192,Kolkata,Fashion,TShirt,50459,2024-01-13,Completed
ORD00000193,C000193,Kolkata,Fashion,Jeans,50873,2024-01-14,Completed
ORD00000194,C000194,Hyderabad,Home,Vacuum,24081,invalid_date,Completed
ORD00000195,C000195,Kolkata,Grocery,Rice,79408,2024/01/16,Completed
ORD00000196,C000196,Bangalore,Home,Vacuum,70321,2024-01-17,Completed
ORD00000197,C000197,Pune,Electronics,Tablet,75480,2024-01-18,Completed
ORD00000198,C000198,Hyderabad,Home,Vacuum,67961,19/01/2024,Completed
ORD00000199,C000199,Kolkata,Fashion,TShirt,81808,2024-01-20,Completed
ORD00000200,C000200,Pune,Electronics,Mobile,67207,2024-01-21,Cancelled
ORD00000201,C000201,Bangalore,Electronics,Mobile,27502,2024-01-22,Completed
ORD00000202,C000202,Hyderabad,Grocery,Rice,64191,2024-01-23,Completed
ORD00000203,C000203,Hyderabad,Home,Mixer,,2024-01-24,Completed
ORD00000204,C000204, kolkata ,Home,AirPurifier,22599,2024-01-25,Completed
ORD00000205,C000205,Mumbai,Fashion,Shoes,43791,2024-01-26,Completed
ORD00000206,C000206,Kolkata,Grocery,Rice,16365,2024-01-27,Completed
ORD00000207,C000207,Chennai,Fashion,Jeans,"12,000",2024-01-28,Completed
ORD00000208,C000208,Hyderabad,Fashion,Jeans,999,2024/01/29,Completed
ORD00000209,C000209,Hyderabad,Grocery,Sugar,invalid,30/01/2024,Completed
ORD00000210,C000210,Hyderabad,Home,AirPurifier,50342,2024-01-31,Completed
ORD00000211,C000211,Chennai,Home,Vacuum,13777,2024-02-01,Completed
ORD00000212,C000212,Bangalore,Electronics,Mobile,59529,2024-02-02,Completed
ORD00000213,C000213,Delhi,Grocery,Sugar,42234,2024-02-03,Completed
ORD00000214,C000214,Pune,Fashion,Jeans,14981,2024-02-04,Completed
ORD00000215,C000215,Bangalore,Home,Mixer,37102,2024-02-05,Completed
ORD00000216,C000216,Pune,Grocery,Oil,26598,2024-02-06,Completed
ORD00000217,C000217,Mumbai, grocery ,Sugar,6580,2024-02-07,Completed
