order_id,customer_id,restaurant_id,restaurant_city,delivery_city,order_time,pickup_time,delivery_time,delivery_status,delivery_partner_id,order_amount,payment_mode,rating
O100000,C9467,R972,Bangalore,Chennai,29/01/2026 04:16:00,,,CANCELLED,D505,invalid,COD,
O100001,C1081,R675,Pune,Bangalore,2026-01-29 17:48:00,2026-01-29 18:16:00,2026-01-29 18:16:00,PLACED,D359,304,CreditCard,
O100002,C3136,R713,Bangalore,Bangalore,2026-01-31 16:26:00,2026-01-31 16:50:00,2026-01-31 17:27:00,CANCELLED,D702,757,CreditCard,
O100003,C3022,R614,Pune,Bangalore,2026-01-06 03:03:00,2026-01-06 03:23:00,2026-01-06 04:21:00,PLACED,D707,729,DebitCard,
O100004,C3883,R655,Hyderabad,Chennai,2026-01-13 10:20:00,2026-01-13 10:20:00,2026-01-13 11:19:00,DELIVERED,D129,2318,Wallet,1.7
O100005,C6981,R842,Pune,Mumbai,2026-01-28 04:25:00,2026-01-28 04:45:00,2026-01-28 05:15:00,PICKED,D311,1696,Wallet,
O100006,C4090,R919,Kolkata,Bangalore,2026-01-22 19:29:00,2026-01-22 19:30:00,2026-01-22 19:45:00,PLACED,D796,675,DebitCard,
O100007,C1644,R944,Bangalore,Kolkata,2026-01-13 16:38:00,2026-01-13 16:52:00,2026-01-13 17:08:00,CANCELLED,D543,2400,CreditCard,
O100008,C8957,R876,Bangalore,Hyderabad,2026-01-14 00:02:00,2026-01-14 00:01:00,2026-01-14 00:58:00,PICKED,D687,815,DebitCard,
O100009,C2976,R226,Bangalore,Hyderabad,2026-01-12 03:53:00,2026-01-12 04:21:00,2026-01-12 04:55:00,DELIVERED,D601,1054,Wallet,1.5
O100010,C8160,R710,Kolkata,Chennai,2026-01-15 14:13:00,2026-01-15 14:10:00,2026-01-15 14:43:00,CANCELLED,D378,983,DebitCard,
O100011,C2874,R620,Kolkata,Pune,2026-01-04 02:10:00,,2026-01-04 03:06:00,PICKED,D185,1986,COD,
O100012,C9331,R715,Hyderabad,Hyderabad,2026-01-23 19:44:00,2026-01-23 19:59:00,2026-01-23 20:33:00,DELIVERED,D884,856,UPI,3.2
O100013,C2790,R209,Chennai,Mumbai,2026-01-01 12:40:00,2026-01-01 13:05:00,,CANCELLED,D197,1838,CreditCard,
O100014,C7587,R803,Bangalore,Kolkata,2026-01-11 10:10:00,2026-01-11 10:17:00,2026-01-11 10:50:00,CANCELLED,D350,1706,CreditCard,
O100015,C4723,R382,Chennai,Bangalore,2026-01-20 15:13:00,2026-01-20 15:15:00,2026-01-20 15:49:00,PLACED,D723,1519,COD,
O100016,C2258,R601,Mumbai,Bangalore,2026-01-16 22:05:00,2026-01-16 22:09:00,2026-01-16 23:02:00,CANCELLED,D537,791,DebitCard,
O100017,C9867,R109,Chennai,Chennai,03/01/2026 18:06:00,2026-01-03 18:27:00,2026-01-03 18:40:00,PLACED,D495,2109,Wallet,
O100018,C4803,R482,Chennai,Kolkata,2026-02-04 17:50:00,2026-02-04 18:08:00,2026-02-04 18:56:00,CANCELLED,D441,2386,COD,
O100019,C7992,R745,Bangalore,Hyderabad,2026-01-25 22:39:00,2026-01-25 23:06:00,2026-01-25 23:17:00,DELIVERED,D207,invalid,UPI,3.6
O100020,C7926,R482,Mumbai,Bangalore,2026-01-14 17:38:00,2026-01-14 17:39:00,2026-01-14 18:39:00,DELIVERED,D845,872,UPI,4.7
O100021,C2701,R270,Kolkata,Delhi,2026-01-24 20:11:00,2026-01-24 20:32:00,2026-01-24 20:46:00,DELIVERED,D522,1692,Wallet,1.8
O100022,C5400,R958,Kolkata,Kolkata,2026-01-14 23:05:00,,2026-01-14 23:18:00,PICKED,D497,1424,UPI,
O100023,C2296,R521,Bangalore,Hyderabad,2026-01-21 02:21:00,2026-01-21 02:33:00,2026-01-21 03:31:00,PICKED,D709,,UPI,
O100024,C8743,R708,Bangalore,Chennai,2026-02-04 03:11:00,2026-02-04 03:30:00,2026-02-04 03:38:00,PLACED,D456,750,Wallet,
O100025,C7756,R698,Kolkata,Bangalore,2026-02-01 07:11:00,2026-02-01 07:23:00,2026-02-01 07:26:00,CANCELLED,D858,2289,DebitCard,
O100026,C3343,R155,Delhi,Hyderabad,2026-01-31 20:41:00,2026-01-31 20:37:00,,PLACED,D333,357,COD,
O100027,C4600,R556,Pune,Pune,2026-01-06 21:55:00,2026-01-06 22:14:00,2026-01-06 23:11:00,CANCELLED,D341,515,COD,
